datetime,portfolio_value,cash,return
2020-03-20 09:30:00-04:00,101960.12052345276,-6216.852056503296,0.18167932183840008
2020-03-21 09:30:00-04:00,101960.12052345276,-6216.852056503296,0.0
2020-03-23 09:30:00-04:00,100824.53847122192,-6216.852056503296,-0.011137511866412764
2020-03-24 09:30:00-04:00,111612.60681343079,-6216.852056503296,0.1069984401196944
2020-03-25 09:30:00-04:00,128387.19229316711,-6216.852056503296,0.15029292800029626
2020-03-26 09:30:00-04:00,128915.4981098175,-6216.852056503296,0.004114941741572009
2020-03-27 09:30:00-04:00,118450.81931877136,-6216.852056503296,-0.08117471478977445
2020-03-28 09:30:00-04:00,118450.81931877136,-6216.852056503296,0.0
2020-03-30 09:30:00-04:00,119749.33568763733,-6216.852056503296,0.010962493770274806
2020-03-31 09:30:00-04:00,117525.06931877136,-6216.852056503296,-0.01857435246795769
